,cluster
1061,0
1062,1
1063,0
1064,0
1065,0
1066,1
1067,1
1068,1
1069,0
1070,0
1071,1
1072,0
1073,0
1074,0
1075,1
1076,1
1077,1
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,1
1085,1
1086,1
1087,0
1088,0
1089,1
1090,0
1091,0
1092,1
1093,1
1094,1
1095,0
1096,0
1097,1
1098,1
1099,0
1100,0
1101,0
1102,1
1103,0
1104,1
1105,1
1106,1
1107,1
1108,1
1109,1
1110,1
1111,0
1112,1
1113,0
1114,0
1115,0
1116,1
1117,1
1118,0
1119,1
1120,1
1121,1
1122,1
1123,0
1124,1
1125,0
1126,0
1127,0
1128,1
1129,1
1130,0
1131,0
1132,1
1133,0
1134,0
1135,1
1136,1
1137,0
1138,1
1139,0
1140,0
1141,1
1142,1
1143,1
1144,0
1145,1
1146,0
1147,0
1148,1
1149,1
1150,1
1151,1
1152,1
1153,0
1154,0
1155,1
1156,0
1157,0
1158,1
1159,0
1160,0
1161,1
1162,0
1163,1
1164,0
1165,1
1166,1
1167,1
1168,1
1169,0
1170,1
1171,0
1172,1
1173,1
1174,1
1175,0
1176,1
1177,1
1178,1
1179,0
1180,1
1181,1
1182,1
1183,0
1184,0
1185,1
1186,1
1187,1
1188,1
1189,0
1190,1
1191,1
1192,0
1193,1
1194,1
1195,1
1196,0
1197,0
1198,1
1199,0
1200,1
1201,0
1202,1
1203,1
1204,0
1205,0
1206,1
1207,0
1208,0
1209,0
1210,0
1211,0
1212,1
1213,1
1214,1
1215,1
1216,1
1217,0
1218,0
1219,1
1220,0
1221,1
1222,1
1223,1
1224,1
1225,1
1226,0
1227,0
1228,1
1229,1
1230,1
1231,1
1232,0
1233,0
1234,0
1235,0
1236,0
1237,1
1238,0
1239,1
1240,0
1241,1
1242,1
1243,0
1244,0
1245,0
1246,0
1247,0
1248,1
1249,1
1250,0
1251,1
1252,0
1253,0
1254,1
1255,0
1256,1
1257,0
1258,0
1259,0
1260,1
1261,1
1262,0
1263,0
1264,0
1265,1
1266,1
1267,0
1268,0
1269,0
1270,0
1271,0
1272,1
1273,1
1274,1
1275,0
1276,1
1277,0
1278,0
1279,0
1280,1
1281,0
1282,0
1283,1
1284,1
1285,0
1286,1
1287,1
1288,0
1289,1
1290,1
1291,1
1292,0
1293,0
1294,1
1295,1
1296,0
1297,0
1298,1
1299,0
1300,1
1301,0
1302,0
1303,1
1304,1
1305,0
1306,1
1307,1
1308,0
1309,1
1310,1
1311,1
1312,1
1313,1
1314,0
1315,1
1316,1
1317,0
1318,1
1319,1
1320,1
1321,1
1322,1
1323,1
1324,1
1325,1
1326,1
1327,1
1328,0
1329,1
1330,1
1331,1
1332,0
1333,0
1334,1
1335,1
1336,0
1337,0
1338,1
1339,1
1340,1
1341,1
1342,0
1343,0
1344,1
1345,1
1346,1
1347,1
1348,1
1349,0
1350,0
1351,0
1352,0
1353,0
1354,0
1355,1
1356,0
1357,1
1358,1
1359,1
1360,0
1361,1
1362,1
1363,1
1364,1
1365,0
1366,0
1367,1
1368,1
1369,0
1370,0
1371,0
1372,1
1373,0
1374,1
1375,1
1376,0
1377,1
1378,1
1379,1
1380,0
1381,0
1382,1
1383,0
1384,0
1385,0
1386,1
1387,1
1388,1
1389,0
1390,0
1391,0
1392,1
1393,1
1394,0
1395,0
1396,1
1397,0
1398,0
1399,0
1400,0
1401,1
1402,0
1403,0
1404,0
1405,1
1406,1
1407,1
1408,0
1409,1
1410,1
1411,0
1412,0
1413,1
1414,1
1415,1
1416,1
1417,1
1418,0
1419,0
1420,1
1421,0
1422,0
1423,1
1424,0
1425,1
1426,0
1427,1
1428,0
1429,1
1430,1
1431,0
1432,1
1433,1
1434,1
1435,0
1436,0
1437,0
1438,0
1439,1
1440,1
1441,0
1442,0
1443,0
1444,1
1445,1
1446,0
1447,1
1448,1
1449,1
1450,1
1451,0
1452,1
1453,1
1454,0
1455,0
1456,1
1457,1
1458,0
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0
1465,1
1466,1
1467,1
1468,0
1469,1
1470,1
1471,1
1472,1
1473,0
1474,0
1475,1
1476,0
1477,0
1478,0
1479,0
1480,1
1481,1
1482,1
1483,1
1484,1
1485,0
1486,0
1487,0
1488,0
1489,1
1490,0
1491,1
1492,0
1493,1
1494,0
1495,0
1496,0
1497,1
1498,0
1499,0
1500,1
1501,1
1502,1
1503,0
1504,1
1505,0
1506,0
1507,0
1508,0
1509,0
1510,1
1511,1
1512,0
1513,1
1514,0
1515,0
1516,1
1517,0
1518,1
1519,1
1520,0
1521,0
1522,0
1523,1
1524,1
1525,1
1526,1
1527,1
1528,0
1529,0
1530,0
1531,1
1532,0
1533,1
1534,0
1535,1
1536,1
1537,0
1538,1
1539,1
1540,1
1541,0
1542,0
1543,1
1544,1
1545,1
1546,0
1547,0
1548,1
1549,1
1550,1
1551,1
1552,0
1553,1
1554,0
1555,1
1556,1
1557,1
1558,0
1559,1
1560,0
1561,0
1562,0
1563,0
1564,1
1565,1
1566,1
1567,0
1568,1
1569,0
1570,0
1571,1
1572,1
1573,1
1574,1
1575,0
1576,0
1577,0
1578,0
1579,1
1580,1
1581,0
1582,1
1583,1
1584,0
1585,0
1586,1
1587,1
1588,1
1589,1
1590,0
1591,1
1592,0
1593,1
1594,0
1595,0
1596,0
1597,0
1598,1
1599,1
1600,1
1601,1
1602,1
1603,1
1604,1
1605,1
1606,1
1607,0
1608,0
1609,0
1610,0
1611,0
1612,0
1613,1
1614,1
1615,1
1616,1
1617,0
1618,0
1619,1
1620,0
1621,0
1622,1
1623,0
1624,1
1625,0
1626,1
1627,1
1628,0
1629,0
1630,1
1631,0
1632,1
1633,0
1634,1
1635,1
1636,1
1637,1
1638,1
1639,1
1640,0
1641,1
1642,1
1643,0
1644,0
1645,0
1646,1
1647,0
1648,0
1649,1
1650,1
1651,0
1652,0
1653,0
1654,0
1655,0
1656,1
1657,1
1658,0
1659,1
1660,0
1661,0
1662,1
1663,0
1664,1
1665,1
1666,1
1667,1
1668,0
1669,1
1670,0
1671,0
1672,0
1673,1
1674,0
1675,1
1676,0
1677,1
1678,0
1679,0
1680,1
1681,0
1682,0
1683,0
1684,1
1685,0
1686,1
1687,1
1688,1
1689,0
1690,0
1691,1
1692,1
1693,0
1694,0
1695,0
1696,0
1697,1
1698,0
1699,1
1700,1
1701,1
1702,1
1703,1
1704,0
1705,0
1706,1
1707,0
1708,1
1709,0
1710,0
1711,0
1712,1
1713,1
1714,1
1715,1
1716,0
1717,0
1718,1
1719,0
1720,1
1721,1
1722,1
1723,1
1724,1
1725,1
1726,0
1727,0
1728,1
1729,1
1730,1
1731,0
1732,1
1733,0
1734,1
1735,1
1736,0
1737,0
1738,0
1739,1
1740,0
1741,0
1742,0
1743,1
1744,1
1745,1
1746,1
1747,1
1748,0
1749,1
1750,0
1751,0
1752,0
1753,1
1754,1
1755,1
1756,0
1757,1
1758,1
1759,1
1760,0
1761,0
1762,0
1763,0
1764,1
1765,0
1766,1
1767,0
1768,1
1769,1
1770,1
1771,0
1772,0
1773,1
1774,1
1775,1
1776,0
1777,0
1778,0
1779,0
1780,1
1781,0
1782,0
1783,0
1784,0
1785,0
1786,0
1787,1
1788,1
1789,0
1790,0
1791,0
1792,0
1793,1
1794,1
1795,1
1796,0
1797,0
1798,1
1799,0
1800,0
1801,1
1802,0
1803,1
1804,1
1805,0
1806,0
1807,1
1808,0
1809,1
1810,1
1811,1
1812,1
1813,0
1814,1
1815,0
1816,1
1817,0
1818,1
1819,0
1820,1
1821,1
1822,0
1823,1
1824,0
1825,1
1826,0
1827,1
1828,0
1829,0
1830,1
1831,1
1832,1
1833,1
1834,0
1835,1
1836,0
1837,0
1838,1
1839,0
1840,1
1841,1
1842,1
1843,1
1844,0
1845,1
1846,0
1847,1
1848,1
1849,1
1850,1
1851,0
1852,1
1853,1
1854,1
1855,0
1856,1
1857,1
1858,0
1859,0
1860,0
1861,0
1862,1
1863,0
1864,1
1865,1
1866,1
1867,1
1868,1
1869,1
1870,1
1871,0
1872,0
1873,1
1874,0
1875,0
1876,1
1877,1
1878,1
1879,0
1880,1
1881,1
1882,0
1883,0
1884,1
1885,0
1886,0
1887,1
1888,0
1889,0
1890,0
1891,1
1892,1
1893,1
1894,0
1895,0
1896,1
1897,0
1898,0
1899,1
1900,1
1901,1
1902,0
1903,0
1904,0
1905,0
1906,1
1907,1
1908,0
1909,1
1910,0
1911,1
1912,1
1913,1
1914,1
1915,1
1916,1
1917,0
1918,1
1919,1
1920,0
1921,0
1922,1
1923,0
1924,1
1925,0
1926,1
1927,1
1928,1
1929,1
1930,0
1931,0
1932,1
1933,0
1934,1
1935,1
1936,0
1937,0
1938,0
1939,1
1940,1
1941,0
1942,1
1943,1
1944,0
1945,0
1946,1
1947,1
1948,0
1949,0
1950,0
1951,0
1952,0
1953,1
1954,1
1955,1
1956,1
1957,1
1958,0
1959,0
1960,0
1961,1
1962,1
1963,1
1964,0
1965,1
1966,0
1967,0
1968,0
1969,1
1970,1
1971,0
1972,1
1973,1
1974,0
1975,0
1976,0
1977,1
1978,0
1979,1
1980,0
1981,0
1982,1
1983,1
1984,1
1985,1
1986,1
1987,1
1988,1
1989,0
1990,1
1991,1
1992,0
1993,0
1994,1
1995,1
1996,0
1997,0
1998,0
1999,0
2000,1
2001,0
2002,1
2003,0
2004,0
2005,1
2006,0
2007,1
2008,1
2009,0
2010,0
2011,1
2012,1
2013,0
2014,0
2015,1
2016,1
2017,1
2018,1
2019,1
2020,1
2021,0
2022,1
2023,0
2024,0
2025,0
2026,1
2027,1
2028,0
2029,1
2030,1
2031,1
2032,0
2033,0
2034,0
2035,0
2036,1
2037,0
2038,0
2039,1
2040,1
2041,0
2042,1
2043,0
2044,1
2045,0
2046,1
2047,1
2048,0
2049,1
2050,0
2051,0
2052,1
2053,1
2054,1
2055,1
2056,0
2057,1
2058,0
2059,0
2060,0
2061,0
2062,1
2063,1
2064,0
2065,0
2066,0
2067,0
2068,1
2069,1
2070,0
2071,1
2072,0
2073,0
2074,0
2075,0
2076,0
2077,0
2078,1
2079,0
2080,0
2081,1
2082,0
2083,1
2084,0
2085,0
2086,0
2087,1
2088,0
2089,0
2090,1
2091,0
2092,1
2093,1
2094,0
2095,0
2096,1
2097,1
2098,0
2099,0
2100,0
2101,1
2102,1
2103,1
2104,1
2105,0
2106,1
2107,1
2108,0
2109,0
2110,0
2111,1
2112,0
2113,1
2114,1
2115,0
2116,0
2117,1
2118,0
2119,0
2120,0
2121,0
2122,1
2123,1
2124,1
2125,0
2126,0
2127,1
2128,0
2129,1
2130,1
2131,1
2132,0
2133,0
2134,1
2135,0
2136,1
2137,0
2138,1
2139,0
2140,1
2141,0
2142,1
2143,1
2144,0
2145,0
2146,0
2147,1
2148,0
2149,1
2150,0
2151,1
2152,1
2153,0
2154,1
2155,1
2156,1
2157,1
2158,0
2159,0
2160,0
2161,0
2162,0
2163,1
2164,0
2165,1
2166,1
2167,0
2168,1
2169,1
2170,1
2171,0
2172,1
2173,0
2174,0
2175,1
2176,0
2177,1
2178,1
2179,0
2180,0
2181,1
2182,1
2183,0
2184,1
2185,1
2186,0
2187,0
2188,0
2189,1
2190,1
2191,1
2192,1
2193,0
2194,0
2195,0
2196,0
2197,1
2198,0
2199,0
2200,0
2201,1
2202,1
2203,0
2204,1
2205,0
2206,1
2207,0
2208,0
2209,1
2210,1
2211,0
2212,0
2213,1
2214,0
2215,1
2216,1
2217,0
2218,1
2219,0
2220,0
2221,0
2222,1
2223,0
2224,0
2225,0
2226,1
2227,0
2228,0
2229,1
2230,1
2231,1
2232,0
2233,1
2234,0
2235,1
2236,0
2237,0
2238,1
2239,0
2240,0
2241,0
2242,1
2243,0
2244,1
2245,1
2246,1
2247,0
2248,1
2249,0
2250,1
2251,1
2252,1
2253,0
2254,1
2255,0
2256,0
2257,0
2258,1
2259,1
2260,0
2261,1
2262,1
2263,1
2264,0
2265,0
2266,0
2267,1
2268,0
2269,0
2270,1
2271,0
2272,1
2273,1
2274,1
2275,0
2276,1
2277,0
2278,0
2279,1
2280,0
2281,1
2282,1
2283,1
2284,1
2285,0
2286,0
2287,1
2288,0
2289,0
2290,1
2291,1
2292,0
2293,1
2294,0
2295,1
2296,0
2297,0
2298,1
2299,0
2300,1
2301,0
2302,0
2303,1
2304,0
2305,0
2306,1
2307,1
2308,1
2309,0
2310,0
2311,0
2312,0
2313,0
2314,0
2315,1
2316,1
2317,1
2318,0
2319,1
2320,1
2321,0
2322,1
2323,0
2324,1
2325,0
2326,0
2327,1
2328,1
2329,0
2330,1
2331,0
2332,1
2333,0
2334,0
2335,0
2336,1
2337,1
2338,1
2339,1
2340,0
2341,1
2342,0
2343,1
2344,0
2345,1
2346,0
2347,1
2348,1
2349,0
2350,1
2351,1
2352,1
2353,0
2354,0
2355,0
2356,0
2357,1
2358,1
2359,1
2360,1
2361,0
2362,0
2363,1
2364,1
2365,1
2366,0
2367,0
2368,1
2369,1
2370,0
2371,1
2372,1
2373,1
2374,1
2375,0
2376,1
2377,1
2378,0
2379,0
2380,1
2381,1
2382,0
2383,1
2384,0
2385,1
2386,1
2387,1
2388,1
2389,1
2390,0
2391,0
2392,0
2393,0
2394,1
2395,1
2396,1
2397,1
2398,0
2399,1
2400,1
2401,0
2402,0
2403,0
2404,1
2405,0
2406,0
2407,0
2408,0
2409,0
2410,1
2411,0
2412,1
2413,1
2414,0
2415,1
2416,1
2417,1
2418,0
2419,1
2420,1
2421,0
2422,1
2423,1
2424,0
2425,0
2426,0
2427,1
2428,1
2429,0
2430,1
2431,0
2432,1
2433,0
2434,0
2435,1
2436,0
2437,1
2438,0
2439,0
2440,1
2441,1
2442,1
2443,1
2444,0
2445,0
2446,0
2447,1
2448,0
2449,1
2450,1
2451,1
2452,0
2453,1
2454,1
2455,0
2456,1
2457,0
2458,1
2459,1
2460,1
2461,1
2462,1
2463,0
2464,1
2465,1
2466,1
2467,0
2468,0
2469,1
2470,0
2471,0
2472,1
2473,0
2474,0
2475,0
2476,0
2477,1
2478,0
2479,1
2480,0
2481,1
2482,1
2483,0
2484,1
2485,1
2486,0
2487,0
2488,1
2489,0
2490,1
2491,1
2492,0
2493,0
2494,0
2495,1
2496,0
2497,0
2498,0
2499,1
2500,0
2501,0
2502,1
2503,1
2504,1
2505,0
2506,0
2507,1
2508,0
2509,1
2510,0
2511,1
2512,0
2513,1
2514,1
2515,0
2516,0
2517,0
2518,1
2519,0
2520,0
2521,1
2522,0
2523,0
2524,0
2525,1
2526,1
2527,1
2528,1
2529,0
2530,1
2531,0
2532,1
2533,0
2534,1
2535,1
2536,1
2537,1
2538,1
2539,1
2540,0
2541,0
2542,0
2543,1
2544,0
2545,1
2546,1
2547,0
2548,0
2549,0
2550,0
2551,0
2552,0
2553,0
2554,1
2555,0
2556,1
2557,0
2558,0
2559,0
2560,1
2561,1
2562,1
2563,1
2564,1
2565,1
2566,0
2567,0
2568,0
2569,0
2570,0
2571,0
2572,1
2573,0
2574,1
2575,1
2576,1
2577,0
2578,0
2579,1
2580,0
2581,1
2582,0
2583,1
2584,0
2585,1
2586,1
2587,1
2588,0
2589,0
2590,0
2591,0
2592,0
2593,0
2594,1
2595,1
2596,0
2597,1
2598,0
2599,0
2600,0
2601,0
2602,1
2603,0
2604,0
2605,1
2606,1
2607,0
2608,1
2609,1
2610,0
2611,0
2612,1
2613,1
2614,1
2615,0
2616,1
2617,0
2618,1
2619,0
2620,1
2621,1
2622,1
2623,0
2624,1
2625,1
2626,0
2627,1
2628,0
2629,0
2630,1
2631,0
2632,1
2633,1
2634,1
2635,1
2636,1
2637,0
2638,1
2639,1
2640,1
2641,0
2642,0
2643,1
2644,0
2645,1
2646,1
2647,1
2648,0
2649,1
2650,0
2651,0
2652,1
2653,0
2654,0
2655,0
2656,0
2657,1
2658,0
2659,0
2660,0
2661,0
2662,1
2663,1
2664,0
2665,1
2666,0
2667,1
2668,0
2669,0
2670,0
2671,1
2672,1
2673,0
2674,1
2675,1
2676,0
2677,1
2678,0
2679,1
2680,1
2681,1
2682,1
2683,0
2684,1
2685,1
2686,0
2687,1
2688,1
2689,1
2690,0
2691,0
2692,1
2693,1
2694,1
2695,1
2696,0
2697,1
2698,1
2699,1
2700,1
2701,1
2702,1
2703,1
2704,0
2705,1
2706,1
2707,1
2708,1
2709,0
2710,1
2711,1
2712,0
2713,1
2714,1
2715,1
2716,1
2717,0
2718,0
2719,0
2720,0
2721,0
2722,1
2723,0
2724,1
2725,1
2726,0
2727,0
2728,1
2729,0
2730,1
2731,1
2732,0
2733,1
2734,0
2735,0
2736,1
2737,0
2738,0
2739,1
2740,1
2741,1
2742,0
2743,1
2744,1
2745,1
2746,1
2747,1
2748,0
2749,1
2750,0
2751,0
2752,0
2753,1
2754,0
2755,0
2756,1
2757,0
2758,0
2759,0
2760,1
2761,1
2762,1
2763,0
2764,0
2765,1
2766,1
2767,1
2768,1
2769,1
2770,0
2771,0
2772,1
2773,0
2774,1
2775,1
2776,0
2777,0
2778,0
2779,0
2780,1
2781,0
2782,0
2783,0
2784,1
2785,1
2786,1
2787,1
2788,1
2789,0
2790,0
2791,0
2792,0
2793,1
2794,1
2795,0
2796,1
2797,1
2798,1
2799,1
2800,0
2801,1
2802,1
2803,1
2804,1
2805,1
2806,0
2807,0
2808,0
2809,1
2810,0
2811,1
2812,1
2813,0
2814,1
2815,0
2816,1
2817,0
2818,1
2819,0
2820,1
2821,1
2822,1
2823,1
2824,0
2825,0
2826,0
2827,1
2828,1
2829,1
2830,1
2831,0
2832,0
2833,0
2834,0
2835,1
2836,1
2837,1
2838,0
2839,0
2840,0
2841,0
2842,0
2843,1
2844,1
2845,0
2846,1
2847,0
2848,1
2849,1
2850,1
2851,1
2852,1
2853,0
2854,0
2855,0
2856,0
2857,0
2858,1
2859,0
2860,1
2861,0
2862,0
2863,1
2864,1
2865,1
2866,0
2867,0
2868,0
2869,1
2870,0
2871,1
2872,0
2873,0
2874,1
2875,0
2876,0
2877,0
2878,1
2879,1
2880,0
2881,0
2882,1
2883,1
2884,0
2885,1
2886,0
2887,1
2888,0
2889,1
2890,1
2891,0
2892,0
2893,1
2894,0
2895,0
2896,1
2897,0
2898,0
2899,1
2900,0
2901,1
2902,0
2903,1
2904,1
2905,1
2906,1
2907,1
2908,0
2909,1
2910,0
2911,1
2912,1
2913,0
2914,1
2915,1
2916,0
2917,1
2918,1
2919,0
2920,0
2921,0
2922,1
2923,0
2924,1
2925,1
2926,0
2927,1
2928,1
2929,0
2930,0
2931,1
2932,1
2933,1
2934,0
2935,0
2936,1
2937,0
2938,1
2939,0
2940,1
2941,1
2942,1
2943,0
2944,1
2945,0
2946,0
2947,0
2948,0
2949,0
2950,1
2951,0
2952,1
2953,0
2954,0
2955,0
2956,0
2957,0
2958,1
2959,0
2960,0
2961,0
2962,1
2963,0
2964,1
2965,1
2966,0
2967,1
2968,1
2969,1
2970,0
2971,0
2972,0
2973,0
2974,0
2975,1
2976,0
2977,0
2978,0
2979,1
2980,1
2981,0
2982,1
2983,1
2984,1
2985,1
2986,1
2987,1
2988,1
2989,0
2990,1
2991,0
2992,0
2993,1
2994,1
2995,1
2996,0
2997,0
